objno_deep2,ra_deep2,dec_deep2,zquality,u_apercor,g_apercor,r_apercor,i_apercor,i2_apercor,z_apercor,flag_cfhtls,cfhtls_source,subaru_source,zhelio
12015661,214.6816350275466,52.56737111479015,2,23.818902004549223,23.535589940927082,23.455530140475883,23.20638023488438,23.203249805125225,22.99159041329003,0,0,0,0.43848786
13011693,214.80995476999578,52.85170831074356,4,21.848602341836106,21.670283725518374,21.319477951489173,20.88608766686912,20.90999330478974,20.710679245293694,0,0,0,0.7567261
13035713,214.87708390968655,53.04232184073771,2,25.08161786658633,24.472115500954853,23.79410220873911,22.972042636631695,23.002287854699183,22.68396914705779,0,0,-99,0.7812235
13017281,215.18225583898874,52.89651130136917,4,23.834092346053392,23.6048397285606,23.03178451885154,22.355484236833373,22.394908326896132,22.181145577242734,0,0,-99,0.71839154
11052295,214.07921093771074,52.39391987207273,4,23.51693904356064,22.943828599522686,22.068740954329897,21.751419146028567,21.754760247294392,21.58952349192715,252,0,1,0.4417252
11020790,213.74880975226657,52.085921092020726,3,23.273195357349547,22.894815629382713,22.296700612387223,21.55371690529228,-99.0,21.17465768082344,0,1,1,0.92792296
12020959,214.39289042415726,52.66955960755513,1,24.825531691691495,24.777952744688168,24.588392131379937,24.077274223324135,24.241826994317883,23.88614703068339,0,0,0,0.85256296
13012761,214.5740088839367,52.8666892072215,-2,25.862927022150952,25.53069899143837,24.900974941760307,24.477328961332898,24.486813415472675,24.498655164790037,0,0,0,-3.9585746e-05
11021281,213.66867473435585,52.1039923488388,4,21.335728244595245,21.1108918846792,20.53738357268443,20.411404793218644,-99.0,20.399026205269905,0,1,1,0.46092546
13003626,214.91599045159884,52.8024027026695,3,25.74739636510233,25.53349985986869,25.27833644734893,24.932108807634236,24.944082877732182,24.556651591603433,0,0,-99,1.400447
12005658,213.93562470796059,52.4146596578812,4,26.47117726457626,24.762798636650615,23.086258760178875,21.688553237204832,-99.0,21.149333531799808,0,1,1,0.7666279
14013346,215.41996716761523,53.337297323443636,1,24.557504232417525,24.19078827478847,24.11176072922639,23.49912929239284,-99.0,23.70558246108398,0,1,-99,0.3742915
13020767,214.65017869103366,52.899595115261036,4,23.778940613412594,23.697120081109553,23.573784710510132,23.000157750087975,23.061172051541305,22.826811483422095,0,0,0,0.95165944
12020882,214.3878070843747,52.67463062918978,2,24.07777696158498,23.879072359464512,23.44551790761842,22.86340731631773,22.92104820881739,22.377378308941203,0,0,0,1.0393113
11025848,214.00579876731206,52.15705377847917,2,24.44040397551829,23.49706419996057,22.267718379919607,21.465212051724397,-99.0,21.171210283337427,244,1,1,0.569963
12024567,214.57993669706678,52.72446452429722,4,24.462149219022297,24.471764622116684,24.52581360076018,24.5691673465846,24.580331518718594,24.35007182969876,0,0,0,1.3339411
11040208,213.9858666210069,52.26357787533561,3,25.078907876775443,24.448104351396054,23.79917903470058,23.165007609262272,-99.0,23.183230832553775,0,1,1,0.547979
12005135,214.10865335504636,52.44359481978972,4,23.409831392577082,23.262818046764313,22.88181889396601,22.521786180629263,22.5289384233224,22.045358907727238,0,0,0,1.2113205
11048042,213.79011378773657,52.31399933442299,4,23.190255284845996,22.1429736548779,21.63451090344081,21.399091909571677,-99.0,21.269074078099965,0,1,1,0.18700847
12027691,214.91533293653572,52.76005552429706,3,24.303597106597568,23.85107170252754,23.08297808887973,22.269692532978343,22.321378032620345,22.05893736439186,0,0,0,0.7098511
13024747,215.26256260738666,52.99931132160418,1,27.079005981228008,25.126207830810234,23.97162424002953,23.638673244793644,23.67053300839916,23.529643785689608,0,0,-99,1.0229856
14008470,215.22646780508362,53.27130661995761,3,23.429679193669674,23.14478762688226,22.474874542006095,21.95739102720263,-99.0,21.80379890076107,0,1,-99,0.64305973
13042105,215.17007316917025,53.09013972512912,4,26.44121091957173,24.90774149630274,23.54985672019518,22.68028005657601,22.742090420948234,22.32336968363471,0,0,-99,0.5567571
12024415,214.6304831134968,52.683573784161126,3,24.62247062241309,24.226704561643583,23.923567141104478,23.49783869889282,-99.0,23.070835901073504,244,1,0,1.1944302
13018057,215.05132776934326,52.90672496645857,2,24.532648361741764,23.643264424616156,22.87736598003407,22.530476813865043,22.57084934829087,22.37922759677527,0,0,-99,0.6830248
12012674,214.3208863445569,52.52709314503318,2,26.920281401799922,25.419586162607644,24.607054660364255,24.35280141270448,24.402236331300703,24.340025263870995,0,0,0,0.3298144
14101255,215.92683706214257,53.53571378881861,1,24.91184908305794,24.753026149739743,24.638860477381325,24.5497705854878,-99.0,25.13602050993716,0,1,-99,0.7235068
13033770,215.19644361181815,53.06311858184927,4,23.42166954355851,22.908776953192756,22.11431502374115,21.97308273631322,-99.0,21.948616464357112,244,1,-99,0.37629417
13050793,215.0789412752116,53.17841674353258,3,25.282349159753966,24.448545704916604,23.850622717014787,23.609406891809403,23.608102946800557,23.42956949470714,252,0,-99,0.2617429
13004512,214.74772456159977,52.811680065555265,4,24.78015938315342,24.742363674574584,24.723301013261135,24.379292134177213,24.45613964107817,24.086928518993364,0,0,0,1.1021562
11035367,213.61023466960978,52.19354945572195,2,24.36186473719023,23.72019515366759,22.66265846532441,21.61558820640953,-99.0,21.095945952775367,0,1,1,0.17906253
13018698,215.02118664416744,52.89679834638082,4,23.626234118978616,23.53167909675926,23.264620020907994,22.699754164384338,22.738845734632452,22.535682164183203,0,0,-99,0.80683905
11019484,213.9199384961392,52.11109199075872,4,25.359713012801976,24.546332335687456,23.503219020732494,22.826797617494154,-99.0,22.472394214780394,0,1,1,0.6323082
14100493,215.81895061434588,53.349889708180854,2,99.0,24.689166184768716,23.895356072868395,23.46619324127473,-99.0,23.044773002485485,0,1,-99,0.7496721
13028441,214.74297331528382,52.956289632304106,1,27.44014975087928,24.41250616723203,23.69400526039622,23.472076767561624,23.49343839021002,23.44881464148249,0,0,-99,1.3082579
11039070,214.1246357723027,52.25403219371765,4,24.10831273436178,23.5437356192814,23.097476336536236,23.017795743221356,23.029708922300678,22.990897026344253,0,0,1,0.24488337
13033659,215.1715327550598,53.04315143432177,4,23.98551462939939,23.40790026200157,22.69251340640154,22.484336461113596,22.48862573089278,22.35319310533078,0,0,-99,0.36689657
13063604,215.52603803031622,53.238118036824744,4,23.576962815594328,22.941390396142342,22.169336498187857,21.434047033967055,-99.0,21.22792405379497,0,1,-99,0.67977923
11046440,214.09154088723665,52.35026540441868,4,23.92345286548054,22.899887704413363,21.73340030574709,21.19883132831358,21.20219262238819,20.900418599873927,0,0,1,0.4587892
14013854,215.31413475998383,53.33981920933002,4,22.49435924026362,21.552266019550007,20.43450340731326,19.928972267932412,-99.0,19.614396055175515,0,1,-99,0.4164591
12008647,214.15759713514004,52.49278346905885,4,24.30522700495992,24.1347630423928,23.828400261180683,23.199490250772502,23.19692418158528,23.02619351141457,0,0,0,0.8336094
13017348,215.1536127372452,52.93102104348509,2,24.641481927183627,24.383239970174383,23.85046530690665,23.088270211749556,23.157192230845418,22.34162261633618,0,0,-99,0.18331139
12011753,214.56461487721575,52.56669122396488,4,23.021225523871745,22.810466964957126,22.315463962602596,21.738683951613375,21.755111995451404,21.565087950676517,0,0,0,0.7212504
11101578,214.12522809139978,52.236086828575026,4,23.77384290299264,23.067088737710847,21.99512683216726,21.354949959544495,21.358212008232456,21.091220791774298,0,0,1,0.5283547
13041415,215.25091879398474,53.06956604524021,2,25.57861199330355,24.742173904306583,24.450082884925525,24.370933959832524,24.384190946964797,24.404619897909456,0,0,-99,0.49006468
12029380,214.47055784954858,52.76031992818025,3,24.5822966229204,24.39285856957874,24.021242163086853,23.60266791688196,23.629279766195104,23.082098808010173,0,0,0,1.3576236
12023981,214.7347907970301,52.68279162919498,4,24.557412791005977,23.99500818273661,23.194983107329378,22.141864605513156,22.228014874547004,21.667599346356745,0,0,0,0.9038248
13049856,215.32259843908233,53.152457415519166,4,24.095391700788568,22.329557885947278,20.875183257743885,20.11115747989488,20.142454860507087,19.83378999990402,0,0,-99,0.51175106
13017088,215.16750237283625,52.92789766036003,2,23.848852104478908,23.654396252497836,23.602428580035376,23.48745087047511,23.535672365244086,23.388831277819286,0,0,-99,1.4288104
12019007,214.80447928567932,52.67000654897129,1,23.889962278027397,23.74187636645117,23.683711287788405,23.625702037742332,23.63838415483655,23.645208370212078,0,0,0,0.22406705
